order_id,order_date,customer_id,store_id,payment_method,order_status
O000064,2025-06-06,C04804,S031,Credit Card,Completed
O000065,2024-02-29,C03469,S031,Credit Card,Completed
O000066,2024-07-04,C00300,S031,Debit Card,Completed
O000067,2024-10-04,C00303,S031,E-Wallet,Completed
O000068,2025-12-13,C03509,S031,Credit Card,Completed
O000069,2024-05-18,C01075,S014,Credit Card,Returned
O000070,2024-10-14,C03771,S031,E-Wallet,Completed
O000071,2025-02-21,C04007,S021,Cash,Completed
O000072,2025-11-09,C01894,S031,E-Wallet,Completed
O000073,2025-01-26,C04017,S031,Bank Transfer,Completed
O000074,2024-07-15,C03796,S022,Credit Card,Completed
O000075,2024-08-05,C03390,S018,Credit Card,Completed
O000076,2025-06-13,C02948,S031,E-Wallet,Completed
O000077,2025-04-18,C01693,S031,Bank Transfer,Completed
O000078,2024-10-31,C00013,S031,Credit Card,Completed
O000079,2024-11-16,C04337,S022,Debit Card,Completed
O000080,2025-04-17,C01098,S031,E-Wallet,Completed
O000081,2024-12-13,C03125,S031,E-Wallet,Completed
O000082,2024-03-03,C00084,S027,E-Wallet,Completed
O000083,2024-07-13,C00975,S031,E-Wallet,Completed
O000084,2025-05-21,C03032,S025,Debit Card,Completed
O000085,2024-08-12,C03251,S031,Bank Transfer,Completed
O000086,2024-08-04,C03845,S031,E-Wallet,Completed
O000087,2024-04-24,C03106,S031,E-Wallet,Completed
O000088,2025-04-26,C02540,S031,E-Wallet,Completed
O000089,2025-06-20,C01256,S005,E-Wallet,Completed
O000090,2024-12-14,C00074,S031,Bank Transfer,Completed
O000091,2024-08-12,C00431,S031,E-Wallet,Completed
O000092,2025-06-12,C01657,S008,E-Wallet,Completed
O000093,2025-11-05,C03611,S031,Credit Card,Completed
O000094,2025-08-20,C00561,S031,Credit Card,Returned
O000095,2024-09-28,C00182,S002,Debit Card,Completed
O000096,2025-09-13,C03832,S031,E-Wallet,Completed
O000097,2024-02-04,C03685,S015,E-Wallet,Completed
O000098,2025-10-28,C01502,S031,E-Wallet,Completed
O000099,2025-03-12,C02280,S031,E-Wallet,Completed
O000100,2025-11-14,C02829,S009,Bank Transfer,Completed
O000101,2024-10-29,C00334,S008,Credit Card,Completed
O000102,2025-01-10,C03298,S002,Debit Card,Completed
O000103,2024-12-27,C04983,S028,Credit Card,Completed
O000104,2024-11-14,C00793,S030,E-Wallet,Completed
O000105,2025-12-02,C04835,S030,Debit Card,Completed
O000106,2024-11-23,C04728,S007,E-Wallet,Completed
O000107,2024-11-18,C00608,S004,Credit Card,Completed
O000108,2025-07-19,C01150,S031,Credit Card,Completed
O000109,2024-01-19,C04981,S031,E-Wallet,Completed
O000110,2024-09-18,C03282,S023,Credit Card,Completed
O000111,2024-04-05,C01542,S026,Bank Transfer,Completed
O000112,2024-06-08,C04993,S031,Bank Transfer,Completed
O000113,2024-10-07,C04415,S001,Debit Card,Completed
O000114,2024-10-27,C00629,S014,Debit Card,Completed
O000115,2024-05-04,C01619,S031,Bank Transfer,Completed
O000116,2025-10-13,C00037,S031,Credit Card,Completed
O000117,2024-11-16,C00505,S031,E-Wallet,Completed
O000118,2024-01-11,C02459,S031,Credit Card,Completed
O000119,2025-04-27,C04596,S031,E-Wallet,Completed
O000120,2024-01-23,C03998,S031,E-Wallet,Completed
O000121,2024-05-08,C02582,S031,Cash,Completed
O000122,2024-03-17,C00563,S004,Debit Card,Completed
O000123,2025-11-06,C03779,S031,E-Wallet,Completed
O000124,2024-09-10,C02642,S004,Debit Card,Completed
O000125,2024-08-12,C04962,S011,E-Wallet,Completed
O000126,2025-05-14,C02160,S031,E-Wallet,Completed
O000127,2025-07-26,C00432,S031,E-Wallet,Completed
O000128,2024-05-15,C01209,S031,E-Wallet,Completed
O000129,2024-06-05,C04188,S023,Debit Card,Cancelled
O000130,2024-12-21,C02561,S031,E-Wallet,Completed
O000131,2024-06-03,C01799,S031,Debit Card,Completed
O000132,2025-06-27,C03415,S031,E-Wallet,Completed
O000133,2024-10-20,C01399,S031,E-Wallet,Completed
O000134,2025-11-27,C03792,S012,Debit Card,Completed
O000135,2024-10-20,C02893,S031,E-Wallet,Completed
O000136,2024-05-25,C03224,S016,E-Wallet,Completed
O000137,2024-10-27,C02418,S018,E-Wallet,Completed
O000138,2024-12-15,C04949,S013,Debit Card,Completed
O000139,2025-06-30,C03501,S005,Debit Card,Completed
O000140,2024-06-08,C04088,S031,E-Wallet,Completed
O000141,2025-06-13,C04649,S031,Credit Card,Cancelled
O000142,2025-04-06,C01981,S017,Credit Card,Completed
O000143,2024-06-10,C01440,S025,Bank Transfer,Returned
O000144,2024-09-03,C02999,S031,E-Wallet,Completed
O000145,2024-02-15,C03468,S028,Debit Card,Completed
O000146,2024-10-10,C04299,S031,Credit Card,Cancelled
O000147,2024-04-12,C01051,S026,Debit Card,Completed
O000148,2024-06-13,C02663,S031,Bank Transfer,Completed
O000149,2025-11-02,C03676,S031,E-Wallet,Completed
O000150,2024-02-25,C03285,S030,Credit Card,Completed
O000151,2024-12-28,C04671,S008,E-Wallet,Completed
O000152,2025-10-12,C00673,S031,Bank Transfer,Completed
O000153,2024-10-30,C01717,S005,Debit Card,Completed
O000154,2025-09-24,C03994,S031,E-Wallet,Completed
O000155,2025-11-20,C00599,S006,Debit Card,Completed
O000156,2024-01-18,C01107,S031,E-Wallet,Completed
O000157,2025-10-28,C00537,S031,Credit Card,Completed
O000158,2025-01-10,C03477,S009,Debit Card,Completed
O000159,2025-02-13,C01292,S031,Credit Card,Completed
O000160,2025-08-29,C00928,S031,Bank Transfer,Completed
O000161,2025-12-23,C02905,S001,Cash,Completed
O000162,2024-02-11,C01755,S013,Debit Card,Completed
O000163,2025-02-01,C04875,S026,Debit Card,Completed
O000164,2025-06-19,C01006,S012,E-Wallet,Completed
O000165,2024-01-29,C01162,S031,Credit Card,Completed
O000166,2024-06-06,C02055,S031,E-Wallet,Completed
O000167,2024-03-31,C01415,S031,E-Wallet,Completed
O000168,2024-08-26,C02875,S031,E-Wallet,Cancelled
O000169,2024-03-29,C00888,S028,E-Wallet,Completed
O000170,2025-09-21,C01309,S031,Credit Card,Returned
O000171,2025-07-31,C01000,S002,Debit Card,Completed
O000172,2024-06-08,C00470,S031,Credit Card,Completed
O000173,2025-11-16,C02304,S031,Bank Transfer,Completed
O000174,2024-06-23,C04873,S001,E-Wallet,Completed
O000175,2024-04-01,C01073,S031,E-Wallet,Completed
O000176,2025-06-30,C03404,S012,Cash,Completed
O000177,2024-02-13,C01875,S030,Cash,Completed
O000178,2024-01-22,C00985,S001,E-Wallet,Completed
O000179,2024-07-27,C03815,S010,Credit Card,Completed
O000180,2024-12-10,C01709,S023,Debit Card,Completed
O000181,2025-02-11,C02233,S031,Bank Transfer,Completed
O000182,2025-09-16,C00047,S031,Bank Transfer,Completed
O000183,2024-02-11,C01897,S012,E-Wallet,Completed
O000184,2024-11-30,C04296,S024,Debit Card,Completed
O000185,2025-04-26,C01427,S031,Credit Card,Completed
O000186,2024-05-05,C00006,S022,Credit Card,Completed
O000187,2025-01-09,C04728,S020,Debit Card,Completed
O000188,2025-09-04,C02600,S015,E-Wallet,Completed
O000189,2025-09-13,C00649,S029,Cash,Completed
O000190,2024-09-16,C03337,S031,E-Wallet,Completed
O000191,2024-08-22,C02688,S031,E-Wallet,Completed
O000192,2024-01-02,C00519,S031,Bank Transfer,Completed
O000193,2025-12-24,C00943,S010,Cash,Completed
O000194,2025-02-02,C04460,S013,Credit Card,Completed
O000195,2024-03-21,C02650,S031,E-Wallet,Completed
O000196,2025-05-29,C03885,S001,Credit Card,Completed
O000197,2025-03-19,C01776,S014,Debit Card,Completed
O000198,2024-05-05,C02292,S031,E-Wallet,Completed
O000199,2024-10-21,C03271,S031,Credit Card,Completed
O000200,2025-06-15,C04259,S004,Credit Card,Completed
O000201,2024-04-20,C00184,S031,E-Wallet,Completed
O000202,2024-08-11,C00509,S031,Bank Transfer,Completed
O000203,2025-09-13,C04835,S031,E-Wallet,Completed
O000204,2025-07-03,C00169,S031,Bank Transfer,Completed
O000205,2024-08-05,C04852,S031,Debit Card,Cancelled
O000206,2025-09-07,C01780,S031,Credit Card,Completed
O000207,2024-06-21,C02403,S031,Bank Transfer,Completed
O000208,2024-08-27,C02712,S031,E-Wallet,Completed
O000209,2024-09-06,C01386,S031,E-Wallet,Returned
O000210,2025-06-12,C01921,S031,E-Wallet,Completed
O000211,2024-11-28,C03415,S020,E-Wallet,Completed
O000212,2024-02-01,C01614,S031,E-Wallet,Completed
O000213,2025-12-20,C03265,S003,Cash,Completed
O000214,2024-09-06,C03806,S005,Debit Card,Completed
O000215,2025-03-26,C01868,S001,E-Wallet,Completed
O000216,2024-03-20,C03809,S031,E-Wallet,Completed
O000217,2025-03-09,C04155,S031,Debit Card,Completed
O000218,2025-10-05,C00715,S031,Debit Card,Completed
O000219,2025-11-05,C03374,S002,E-Wallet,Completed
O000220,2024-11-01,C04291,S012,Cash,Completed
O000221,2024-02-21,C02367,S031,E-Wallet,Cancelled
O000222,2025-12-25,C03807,S031,Credit Card,Completed
O000223,2025-10-13,C04145,S031,E-Wallet,Completed
O000224,2025-06-26,C00135,S023,Credit Card,Completed
O000225,2025-12-20,C04155,S031,Credit Card,Completed
O000226,2024-10-31,C00692,S031,Debit Card,Completed
O000227,2025-07-10,C01140,S031,Credit Card,Completed
O000228,2024-09-13,C04253,S031,E-Wallet,Completed
O000229,2025-01-16,C02756,S031,E-Wallet,Completed
O000230,2025-12-11,C02572,S031,E-Wallet,Completed
O000231,2025-01-09,C02089,S031,Credit Card,Completed
O000232,2025-06-22,C01328,S031,Bank Transfer,Completed
O000233,2025-08-26,C02940,S019,Debit Card,Completed
O000234,2025-10-19,C00647,S024,Debit Card,Completed
O000235,2025-06-21,C01210,S031,E-Wallet,Completed
O000236,2024-11-02,C02612,S025,Cash,Completed
O000237,2025-09-18,C04204,S031,Credit Card,Completed
O000238,2025-07-12,C03458,S031,E-Wallet,Completed
O000239,2024-09-03,C01431,S005,E-Wallet,Completed
O000240,2024-02-02,C01718,S031,Bank Transfer,Completed
O000241,2025-04-17,C03152,S009,Credit Card,Completed
O000242,2025-03-02,C04871,S031,Credit Card,Completed
O000243,2024-03-23,C04998,S008,Cash,Completed
O000244,2025-10-20,C04037,S030,Debit Card,Completed
O000245,2024-05-15,C02560,S031,Debit Card,Completed
O000246,2024-05-10,C03424,S023,Debit Card,Completed
O000247,2024-11-10,C03788,S031,Credit Card,Completed
O000248,2025-01-29,C03398,S001,E-Wallet,Completed
O000249,2025-05-20,C01725,S029,Debit Card,Completed
O000250,2024-04-18,C01921,S031,Credit Card,Returned
O000251,2025-07-11,C01153,S031,Credit Card,Completed
O000252,2025-09-23,C00046,S031,Credit Card,Completed
O000253,2025-07-14,C01516,S031,E-Wallet,Returned
O000254,2025-09-27,C03692,S031,E-Wallet,Completed
O000255,2024-08-14,C03593,S031,Debit Card,Completed
O000256,2024-11-08,C03036,S026,Debit Card,Completed
O000257,2024-12-29,C00711,S031,E-Wallet,Completed
O000258,2024-11-05,C03651,S021,Credit Card,Completed
O000259,2024-12-16,C02798,S031,E-Wallet,Cancelled
O000260,2024-07-10,C00034,S031,E-Wallet,Completed
O000261,2025-08-12,C01680,S027,Debit Card,Completed
O000262,2025-01-10,C01365,S031,Bank Transfer,Completed
O000263,2025-04-10,C00460,S031,Cash,Completed
O000264,2024-09-05,C04308,S031,E-Wallet,Completed
O000265,2025-12-07,C00020,S031,E-Wallet,Completed
O000266,2025-03-04,C01185,S017,Cash,Returned
O000267,2025-07-05,C02565,S031,Bank Transfer,Completed
O000268,2024-06-06,C04319,S031,Debit Card,Completed
O000269,2025-02-23,C03200,S022,Credit Card,Completed
O000270,2024-07-28,C02687,S029,Bank Transfer,Completed
O000271,2025-11-08,C02689,S031,Bank Transfer,Completed
O000272,2024-11-12,C02554,S031,E-Wallet,Completed
O000273,2024-11-16,C00172,S031,E-Wallet,Completed
O000274,2025-06-02,C01126,S013,Debit Card,Completed
O000275,2024-03-30,C03431,S031,Credit Card,Completed
O000276,2025-04-22,C01595,S020,Cash,Completed
O000277,2024-11-02,C00232,S022,Cash,Completed
O000278,2025-03-14,C00369,S001,Debit Card,Completed
O000279,2024-10-12,C01897,S028,Debit Card,Completed
O000280,2024-06-28,C03496,S031,E-Wallet,Completed
O000281,2024-10-20,C02723,S031,E-Wallet,Completed
O000282,2025-07-16,C02418,S031,E-Wallet,Completed
O000283,2024-11-26,C02461,S016,Debit Card,Completed
O000284,2024-04-12,C02300,S004,Credit Card,Completed
O000285,2024-03-08,C01524,S031,Credit Card,Completed
O000286,2024-12-21,C03450,S031,E-Wallet,Completed
O000287,2025-03-19,C01209,S031,E-Wallet,Returned
O000288,2024-08-11,C03587,S031,E-Wallet,Cancelled
O000289,2024-06-22,C01940,S031,Debit Card,Completed
O000290,2024-05-19,C00118,S021,Debit Card,Completed
O000291,2024-10-17,C00405,S023,Debit Card,Completed
O000292,2024-08-03,C01810,S016,Debit Card,Completed
O000293,2025-10-22,C03119,S004,E-Wallet,Completed
O000294,2025-05-22,C03195,S031,Debit Card,Completed
O000295,2024-12-04,C04153,S031,E-Wallet,Completed
O000296,2024-01-10,C02827,S031,E-Wallet,Completed
O000297,2024-03-26,C01646,S031,E-Wallet,Completed
O000298,2025-11-16,C04598,S031,E-Wallet,Completed
O000299,2024-01-10,C01472,S029,Debit Card,Completed
O000300,2025-11-24,C02403,S031,E-Wallet,Completed
O000301,2024-04-28,C02973,S019,Cash,Completed
O000302,2024-04-26,C00902,S031,E-Wallet,Completed
O000303,2025-02-14,C02327,S031,Bank Transfer,Completed
O000304,2025-02-16,C03809,S031,E-Wallet,Completed
O000305,2024-02-29,C02264,S031,Bank Transfer,Completed
O000306,2024-04-06,C04155,S031,Credit Card,Completed
O000307,2024-10-27,C03839,S010,Debit Card,Completed
O000308,2025-07-23,C03425,S031,E-Wallet,Completed
O000309,2024-03-18,C04321,S031,Bank Transfer,Completed
O000310,2025-02-24,C00901,S031,Credit Card,Completed
O000311,2024-01-16,C02343,S031,Bank Transfer,Completed
O000312,2025-08-23,C04751,S031,Debit Card,Completed
O000313,2024-12-01,C04726,S031,Debit Card,Completed
O000314,2024-09-18,C02621,S017,Debit Card,Completed
O000315,2025-02-21,C00304,S007,Debit Card,Completed
O000316,2025-07-06,C01898,S031,E-Wallet,Completed
O000317,2025-12-09,C03509,S008,E-Wallet,Completed
O000318,2024-04-25,C01006,S001,Bank Transfer,Completed
O000319,2024-09-08,C04539,S031,E-Wallet,Completed
O000320,2025-05-08,C03496,S025,Credit Card,Completed
O000321,2024-03-24,C03705,S008,Bank Transfer,Completed
O000322,2025-11-14,C01157,S031,Credit Card,Completed
O000323,2025-11-02,C04865,S021,Cash,Completed
O000324,2024-07-20,C04713,S025,E-Wallet,Completed
O000325,2025-08-19,C01480,S005,E-Wallet,Completed
O000326,2024-06-14,C02801,S031,E-Wallet,Completed
O000327,2025-04-09,C03017,S030,Bank Transfer,Completed
O000328,2025-06-29,C02411,S026,E-Wallet,Completed
O000329,2025-11-10,C00158,S028,Debit Card,Completed
O000330,2025-08-30,C04948,S031,Debit Card,Completed
O000331,2025-05-19,C04849,S031,E-Wallet,Completed
O000332,2024-08-12,C02468,S031,E-Wallet,Completed
O000333,2024-04-04,C01518,S020,Credit Card,Completed
O000334,2024-12-09,C02132,S031,Bank Transfer,Completed
O000335,2024-08-11,C02909,S027,Debit Card,Completed
O000336,2024-06-07,C04797,S020,Debit Card,Completed
O000337,2024-02-16,C04187,S004,Credit Card,Completed
O000338,2025-02-27,C02869,S028,E-Wallet,Completed
O000339,2025-05-10,C01318,S031,Bank Transfer,Completed
O000340,2025-04-08,C00928,S025,Debit Card,Completed
O000341,2025-05-24,C02782,S031,Cash,Completed
O000342,2024-10-30,C03614,S007,Debit Card,Completed
O000343,2024-06-13,C03983,S031,E-Wallet,Completed
O000344,2025-10-25,C00737,S031,E-Wallet,Completed
O000345,2025-01-24,C04155,S031,Cash,Completed
O000346,2025-04-30,C00775,S031,Credit Card,Completed
O000347,2025-03-02,C00479,S031,E-Wallet,Completed
O000348,2025-05-04,C01784,S031,E-Wallet,Completed
O000349,2025-01-20,C02224,S031,E-Wallet,Completed
O000350,2025-07-07,C00234,S031,Debit Card,Completed
O000351,2024-10-29,C04301,S031,E-Wallet,Completed
O000352,2025-02-12,C01945,S005,Credit Card,Completed
O000353,2024-04-26,C01456,S031,Debit Card,Completed
O000354,2025-09-10,C02583,S031,Credit Card,Completed
O000355,2025-04-24,C00889,S019,Cash,Completed
O000356,2025-01-01,C02501,S031,E-Wallet,Completed
O000357,2024-02-24,C04193,S031,Credit Card,Completed
O000358,2025-10-12,C04059,S010,Cash,Completed
O000359,2025-06-13,C04371,S030,E-Wallet,Completed
O000360,2024-05-18,C00692,S012,Cash,Completed
O000361,2025-05-16,C01140,S031,Bank Transfer,Completed
O000362,2024-01-09,C04486,S031,E-Wallet,Completed
O000363,2024-01-12,C03834,S031,Bank Transfer,Returned
O000364,2025-06-04,C01626,S031,Bank Transfer,Completed
O000365,2024-11-03,C04266,S005,Debit Card,Completed
O000366,2025-12-16,C02986,S031,E-Wallet,Completed
O000367,2024-09-16,C04009,S031,E-Wallet,Completed
O000368,2025-04-04,C03234,S031,E-Wallet,Completed
O000369,2024-03-26,C04803,S031,Credit Card,Completed
O000370,2025-06-12,C03511,S031,E-Wallet,Completed
O000371,2025-11-29,C00988,S031,Debit Card,Completed
O000372,2024-03-18,C01407,S031,Bank Transfer,Completed
O000373,2025-07-22,C03397,S031,Debit Card,Completed
O000374,2024-06-28,C04132,S031,E-Wallet,Completed
O000375,2024-07-06,C02650,S031,E-Wallet,Completed
O000376,2024-01-11,C00598,S024,Debit Card,Completed
O000377,2025-08-06,C03488,S031,Credit Card,Completed
O000378,2024-10-16,C02963,S010,Bank Transfer,Completed
O000379,2025-06-16,C02889,S012,Debit Card,Completed
O000380,2024-07-22,C02735,S002,Debit Card,Completed
O000381,2024-12-14,C01475,S031,E-Wallet,Completed
O000382,2025-04-11,C01695,S028,E-Wallet,Completed
O000383,2024-02-27,C02732,S031,Credit Card,Completed
O000384,2024-10-03,C01319,S031,E-Wallet,Completed
O000385,2024-05-27,C00681,S031,E-Wallet,Returned
O000386,2024-03-12,C01266,S031,Cash,Completed
O000387,2025-05-30,C02052,S031,E-Wallet,Completed
O000388,2024-02-21,C03091,S031,Bank Transfer,Completed
O000389,2025-08-13,C02809,S031,Bank Transfer,Completed
O000390,2024-08-14,C00884,S004,Bank Transfer,Completed
O000391,2025-09-01,C00582,S031,Bank Transfer,Completed
O000392,2024-12-05,C00209,S019,Credit Card,Completed
O000393,2024-12-16,C02616,S031,E-Wallet,Completed
O000394,2025-12-19,C00244,S021,Cash,Returned
O000395,2025-07-25,C02840,S031,E-Wallet,Completed
O000396,2025-03-10,C02728,S031,Credit Card,Completed
O000397,2025-11-12,C00465,S031,Credit Card,Completed
O000398,2024-08-18,C03359,S031,E-Wallet,Completed
O000399,2025-05-14,C01780,S021,Debit Card,Completed
O000400,2025-04-27,C03762,S031,Bank Transfer,Completed
O000401,2024-09-25,C04561,S031,Credit Card,Cancelled
O000402,2025-06-01,C01921,S031,Bank Transfer,Completed
O000403,2024-03-23,C02492,S031,Bank Transfer,Completed
O000404,2025-08-24,C01416,S031,Debit Card,Completed
O000405,2024-05-16,C03818,S031,Bank Transfer,Completed
O000406,2025-03-12,C01024,S004,Debit Card,Completed
O000407,2024-09-11,C00010,S031,Bank Transfer,Completed
O000408,2024-12-12,C00865,S031,E-Wallet,Completed
O000409,2024-10-31,C02741,S031,E-Wallet,Completed
O000410,2024-01-24,C01121,S027,E-Wallet,Completed
O000411,2024-08-16,C01188,S007,Debit Card,Completed
O000412,2025-11-09,C03771,S031,Debit Card,Completed
O000413,2024-09-25,C00988,S031,Credit Card,Completed
O000414,2024-07-06,C03184,S017,Debit Card,Completed
O000415,2025-04-19,C04697,S031,Bank Transfer,Completed
O000416,2025-08-22,C02317,S006,E-Wallet,Completed
O000417,2025-01-18,C04680,S031,Credit Card,Completed
O000418,2025-03-15,C01229,S031,Bank Transfer,Completed
O000419,2024-01-19,C03144,S031,Bank Transfer,Completed
O000420,2024-09-05,C03097,S031,Bank Transfer,Completed
O000421,2025-04-24,C00446,S006,Debit Card,Completed
O000422,2025-01-22,C01594,S017,Cash,Completed
O000423,2025-04-15,C01086,S018,Credit Card,Completed
O000424,2024-12-17,C02097,S016,Cash,Completed
O000425,2025-10-10,C01078,S031,E-Wallet,Completed
O000426,2025-02-05,C02029,S018,Debit Card,Completed
O000427,2024-01-15,C00221,S006,Bank Transfer,Completed
O000428,2025-06-25,C00437,S031,Credit Card,Completed
O000429,2024-01-27,C03019,S006,E-Wallet,Completed
O000430,2025-08-17,C01522,S031,E-Wallet,Completed
O000431,2024-02-10,C03336,S018,Credit Card,Completed
O000432,2024-04-03,C00022,S022,Cash,Completed
O000433,2025-03-28,C01026,S004,Cash,Completed
O000434,2024-01-01,C04962,S017,Debit Card,Completed
O000435,2025-03-08,C01731,S031,Bank Transfer,Completed
O000436,2024-11-29,C03824,S031,Debit Card,Completed
O000437,2024-05-31,C04365,S031,Credit Card,Completed
O000438,2024-10-11,C02164,S025,Cash,Completed
O000439,2024-06-07,C04635,S031,E-Wallet,Completed
O000440,2024-08-06,C03589,S031,Debit Card,Completed
O000441,2025-09-08,C04690,S031,E-Wallet,Completed
O000442,2024-10-07,C02656,S031,Bank Transfer,Completed
O000443,2025-11-15,C02255,S031,Bank Transfer,Completed
O000444,2025-03-06,C00118,S031,E-Wallet,Completed
O000445,2024-12-12,C02585,S031,Bank Transfer,Completed
O000446,2025-01-26,C00927,S031,E-Wallet,Completed
O000447,2024-01-12,C03884,S031,Debit Card,Completed
O000448,2024-02-28,C04846,S031,Bank Transfer,Completed
O000449,2025-05-03,C00988,S017,E-Wallet,Completed
O000450,2024-03-05,C00741,S023,E-Wallet,Completed
O000451,2025-02-10,C03543,S019,Cash,Completed
O000452,2024-10-15,C00864,S013,Bank Transfer,Completed
O000453,2025-01-11,C03205,S031,Bank Transfer,Completed
O000454,2025-01-15,C01368,S005,E-Wallet,Completed
O000455,2025-02-12,C02508,S031,E-Wallet,Completed
O000456,2025-12-23,C01216,S012,Credit Card,Completed
O000457,2025-10-22,C02949,S031,Bank Transfer,Completed
O000458,2025-09-24,C02942,S031,Cash,Completed
O000459,2025-06-18,C04793,S031,Credit Card,Completed
O000460,2025-07-13,C01939,S031,E-Wallet,Returned
O000461,2024-01-13,C04574,S031,Credit Card,Completed
O000462,2024-12-06,C04238,S031,Credit Card,Completed
O000463,2025-10-19,C02180,S031,Credit Card,Returned
O000464,2025-08-23,C01734,S031,Cash,Completed
O000465,2025-12-02,C02773,S031,E-Wallet,Completed
O000466,2024-02-26,C02740,S002,E-Wallet,Completed
O000467,2025-07-23,C04584,S031,Bank Transfer,Returned
O000468,2025-10-12,C02195,S031,Credit Card,Completed
O000469,2024-10-05,C04867,S031,Cash,Completed
O000470,2024-10-10,C04075,S005,Cash,Completed
O000471,2024-09-03,C03999,S023,Credit Card,Completed
O000472,2025-11-29,C01869,S013,Cash,Completed
O000473,2025-09-08,C03963,S031,Credit Card,Completed
O000474,2025-06-09,C01338,S031,E-Wallet,Completed
O000475,2024-06-23,C02663,S031,E-Wallet,Completed
O000476,2025-01-12,C01735,S031,Credit Card,Completed
O000477,2024-01-13,C04995,S031,Credit Card,Completed
O000478,2024-03-23,C01140,S031,Bank Transfer,Completed
O000479,2025-06-11,C04144,S031,E-Wallet,Completed
O000480,2025-06-14,C02032,S011,E-Wallet,Completed
O000481,2025-08-14,C01689,S014,Bank Transfer,Completed
O000482,2025-05-30,C03493,S031,Credit Card,Completed
O000483,2024-02-25,C00688,S031,E-Wallet,Completed
O000484,2024-10-12,C04140,S031,Credit Card,Completed
O000485,2024-07-17,C03626,S025,Debit Card,Returned
O000486,2024-08-03,C02641,S030,Debit Card,Completed
O000487,2024-10-13,C00436,S014,Cash,Completed
O000488,2024-12-08,C03195,S031,Bank Transfer,Completed
