order_detail_id,order_id,product_id,quantity,unit_price,discount_pct,sales_amount,unit_cost,cost_amount,profit_amount
OD0000021,O000013,P0085,1,3706260.37,0.1124,3289597.62,2868577.45,2868577.45,421020.17
OD0000022,O000013,P0197,1,148719.43,0.1592,125041.68,98786.53,98786.53,26255.15
OD0000023,O000014,P0075,2,1107349.35,0.1345,1916715.62,790158.9,1580317.8,336397.82
OD0000024,O000015,P0039,2,2060959.98,0.019,4043724.26,1744454.31,3488908.62,554815.64
OD0000025,O000015,P0117,2,13021317.84,0.1077,23237372.76,9843143.02,19686286.04,3551086.72
OD0000026,O000016,P0089,8,747015.93,0.1478,5092802.6,543656.95,4349255.6,743547.0
OD0000027,O000016,P0012,8,705129.3,0.2025,4498975.05,607117.74,4856941.92,-357966.87
OD0000028,O000016,P0217,4,32784.1,0.1679,109121.45,23910.13,95640.52,13480.93
OD0000029,O000016,P0052,5,5297679.95,0.1644,22133548.28,4759744.91,23798724.55,-1665176.27
OD0000030,O000016,P0141,5,192356.09,0.1712,797126.2,126690.48,633452.4,163673.8
OD0000031,O000017,P0197,3,147947.43,0.0,443842.28,98786.53,296359.59,147482.69
OD0000032,O000017,P0227,1,545790.74,0.065,510325.63,357389.01,357389.01,152936.62
OD0000033,O000018,P0189,3,420570.78,0.1591,1061010.36,310972.62,932917.86,128092.5
OD0000034,O000018,P0230,5,133127.16,0.0975,600742.78,90277.16,451385.8,149356.98
OD0000035,O000018,P0173,4,1882538.67,0.2108,5942491.08,1150186.66,4600746.64,1341744.44
OD0000036,O000018,P0297,10,18607.95,0.1009,167310.38,13851.81,138518.1,28792.28
OD0000037,O000018,P0199,4,842717.28,0.1626,2822738.19,622192.17,2488768.68,333969.51
OD0000038,O000019,P0210,3,1102870.18,0.1779,2719917.5,671960.8,2015882.4,704035.1
OD0000039,O000019,P0124,4,129752.33,0.0586,488609.1,83380.9,333523.6,155085.5
OD0000040,O000020,P0010,1,972736.3,0.1096,866110.09,837339.32,837339.32,28770.77
OD0000041,O000020,P0037,1,14181742.11,0.1567,11959368.43,11706271.19,11706271.19,253097.24
OD0000042,O000021,P0080,2,955614.14,0.1903,1547539.8,711895.37,1423790.74,123749.06
OD0000043,O000022,P0204,1,153810.88,0.043,147196.61,84564.05,84564.05,62632.56
OD0000044,O000022,P0297,1,18579.64,0.0925,16860.66,13851.81,13851.81,3008.85
OD0000045,O000022,P0012,1,690292.27,0.1005,620887.9,607117.74,607117.74,13770.16
OD0000046,O000022,P0284,1,943279.44,0.0332,911956.13,647952.02,647952.02,264004.11
OD0000047,O000022,P0127,1,2389847.82,0.0879,2179843.52,1320170.83,1320170.83,859672.69
OD0000048,O000023,P0029,1,3919264.34,0.098,3535078.98,3313680.43,3313680.43,221398.55
OD0000049,O000023,P0100,1,13584237.22,0.0947,12297353.39,10691084.29,10691084.29,1606269.1
OD0000050,O000023,P0039,1,2027371.93,0.0466,1932846.79,1744454.31,1744454.31,188392.48
OD0000051,O000024,P0088,1,2793027.79,0.0628,2617713.67,2060938.66,2060938.66,556775.01
OD0000052,O000025,P0042,3,1901143.45,0.1639,4768646.51,1587204.98,4761614.94,7031.57
OD0000053,O000026,P0065,1,2306379.41,0.0745,2134528.18,1854699.47,1854699.47,279828.71
OD0000054,O000026,P0006,2,10353546.23,0.1676,17237510.1,8118987.55,16237975.1,999535.0
OD0000055,O000026,P0194,1,802153.59,0.027,780512.66,473591.15,473591.15,306921.51
OD0000056,O000026,P0056,1,627348.42,0.1023,563154.42,547785.57,547785.57,15368.85
OD0000057,O000027,P0059,2,4599006.39,0.0989,8288321.3,3953597.22,7907194.44,381126.86
OD0000058,O000028,P0095,1,309281.66,0.1495,263029.39,221275.44,221275.44,41753.95
OD0000059,O000029,P0118,1,171988.29,0.024,167867.19,111716.01,111716.01,56151.18
OD0000060,O000030,P0148,1,160455.64,0.1164,141780.9,85540.55,85540.55,56240.35
OD0000061,O000031,P0259,1,830767.01,0.1337,719730.39,543893.44,543893.44,175836.95
OD0000062,O000031,P0005,3,2272660.75,0.1374,5880935.1,1967776.83,5903330.49,-22395.39
OD0000063,O000032,P0241,5,671812.96,0.2544,2504466.69,485076.07,2425380.35,79086.34
OD0000064,O000033,P0026,2,6098648.34,0.0811,11207938.57,5213611.43,10427222.86,780715.71
OD0000065,O000033,P0139,1,140810.76,0.0921,127840.43,94821.26,94821.26,33019.17
OD0000066,O000034,P0154,1,137696.14,0.0449,131520.4,90912.7,90912.7,40607.7
OD0000067,O000034,P0260,1,614161.16,0.0726,569561.66,431143.02,431143.02,138418.64
OD0000068,O000035,P0081,2,1688150.29,0.0611,3170139.77,1143260.05,2286520.1,883619.67
OD0000069,O000035,P0208,1,700662.87,0.065,655105.49,396314.71,396314.71,258790.78
OD0000070,O000035,P0178,1,664384.37,0.0,664384.37,344847.75,344847.75,319536.62
OD0000071,O000036,P0023,2,907347.45,0.1207,1595669.94,761116.39,1522232.78,73437.16
OD0000072,O000037,P0287,2,2777188.8,0.0301,5387033.38,2024963.77,4049927.54,1337105.84
OD0000073,O000037,P0249,3,1356978.23,0.1235,3568133.52,843827.59,2531482.77,1036650.75
OD0000074,O000038,P0051,5,518126.27,0.1687,2153702.64,450326.67,2251633.35,-97930.71
OD0000075,O000039,P0064,2,1732529.28,0.22,2702871.5,1438121.57,2876243.14,-173371.64
OD0000076,O000040,P0198,1,289098.18,0.1681,240489.18,208583.48,208583.48,31905.7
OD0000077,O000040,P0053,1,533365.49,0.0584,502204.45,470537.19,470537.19,31667.26
OD0000078,O000040,P0173,2,1912682.3,0.1353,3307655.99,1150186.66,2300373.32,1007282.67
OD0000079,O000041,P0123,1,232154.29,0.0846,212505.16,119940.33,119940.33,92564.83
OD0000080,O000042,P0063,3,3866274.59,0.2404,8810895.91,3195721.75,9587165.25,-776269.34
OD0000081,O000042,P0085,2,3752793.88,0.1639,6275435.18,2868577.45,5737154.9,538280.28
OD0000082,O000042,P0182,3,92486.56,0.1449,237242.01,54381.99,163145.97,74096.04
OD0000083,O000043,P0107,3,3404204.54,0.1588,8590361.85,2296983.22,6890949.66,1699412.19
OD0000084,O000043,P0034,4,5768982.3,0.1122,20487812.26,4726764.33,18907057.32,1580754.94
OD0000085,O000044,P0248,1,1127545.8,0.1539,954030.91,824960.88,824960.88,129070.03
OD0000086,O000044,P0009,2,14076609.77,0.088,25675859.84,11391061.22,22782122.44,2893737.4
OD0000087,O000045,P0073,2,682575.37,0.0945,1236093.63,446121.84,892243.68,343849.95
OD0000088,O000046,P0121,2,486726.31,0.1047,871579.05,294490.03,588980.06,282598.99
OD0000089,O000046,P0081,1,1671806.94,0.1045,1497171.99,1143260.05,1143260.05,353911.94
OD0000090,O000047,P0018,2,4541398.65,0.1194,7998482.26,3768223.33,7536446.66,462035.6
OD0000091,O000048,P0155,4,150033.93,0.1336,519962.47,79286.52,317146.08,202816.39
OD0000092,O000048,P0290,4,1190036.8,0.1829,3889498.37,789200.84,3156803.36,732695.01
OD0000093,O000049,P0153,1,562364.97,0.1111,499867.64,318679.04,318679.04,181188.6
OD0000094,O000050,P0271,1,1857324.09,0.1661,1548785.81,1480721.74,1480721.74,68064.07
OD0000095,O000051,P0048,3,920837.84,0.1666,2302207.83,764468.52,2293405.56,8802.27
OD0000096,O000052,P0013,1,651348.96,0.0814,598331.94,586215.0,586215.0,12116.94
OD0000097,O000053,P0121,1,468246.79,0.0861,427918.58,294490.03,294490.03,133428.55
OD0000098,O000054,P0001,5,16089925.93,0.1622,67397101.74,14116262.75,70581313.75,-3184212.01
OD0000099,O000054,P0212,1,30583.45,0.1257,26738.13,19797.96,19797.96,6940.17
OD0000100,O000055,P0002,1,1073206.37,0.0339,1036791.19,912026.12,912026.12,124765.07
OD0000101,O000055,P0010,1,967360.94,0.0584,910828.47,837339.32,837339.32,73489.15
OD0000102,O000055,P0145,1,1673414.38,0.0981,1509173.05,1054418.05,1054418.05,454755.0
OD0000103,O000056,P0151,3,3006651.87,0.1924,7284191.14,1913845.16,5741535.48,1542655.66
OD0000104,O000056,P0227,8,515162.3,0.2281,3181163.37,357389.01,2859112.08,322051.29
OD0000105,O000057,P0071,1,7549463.64,0.163,6318672.0,5621303.73,5621303.73,697368.27
OD0000106,O000057,P0235,1,102712.82,0.1616,86114.05,64752.75,64752.75,21361.3
OD0000107,O000058,P0283,1,81171.78,0.0492,77180.63,62086.9,62086.9,15093.73
OD0000108,O000059,P0016,2,937058.15,0.0429,1793657.96,812885.54,1625771.08,167886.88
OD0000109,O000059,P0039,1,2098813.73,0.0981,1892883.01,1744454.31,1744454.31,148428.7
OD0000110,O000060,P0167,1,1497687.91,0.0826,1374036.85,940725.12,940725.12,433311.73
OD0000111,O000061,P0006,2,10405893.28,0.1809,17047221.69,8118987.55,16237975.1,809246.59
OD0000112,O000061,P0173,5,1889972.83,0.0974,8529919.74,1150186.66,5750933.3,2778986.44
OD0000113,O000062,P0232,2,4590619.41,0.1223,8058265.02,2852038.23,5704076.46,2354188.56
OD0000114,O000062,P0053,1,514943.13,0.1359,444975.15,470537.19,470537.19,-25562.04
OD0000115,O000063,P0059,1,4784388.38,0.1334,4146317.03,3953597.22,3953597.22,192719.81
OD0000116,O000063,P0177,3,1712123.51,0.1136,4552879.85,1190024.47,3570073.41,982806.44
OD0000117,O000064,P0183,4,1849091.6,0.0821,6788916.75,1263252.51,5053010.04,1735906.71
OD0000118,O000065,P0262,3,206336.83,0.0144,610123.58,158934.95,476804.85,133318.73
OD0000119,O000065,P0060,3,4631550.47,0.0644,13000195.02,3715047.81,11145143.43,1855051.59
OD0000120,O000065,P0034,1,5628311.91,0.0811,5171940.59,4726764.33,4726764.33,445176.26
OD0000121,O000066,P0253,6,2664079.45,0.1935,12891081.56,1866730.12,11200380.72,1690700.84
OD0000122,O000067,P0043,3,2031061.51,0.1216,5352294.9,1700829.31,5102487.93,249806.97
OD0000123,O000068,P0284,1,957798.89,0.0575,902764.47,647952.02,647952.02,254812.45
OD0000124,O000068,P0181,1,556009.68,0.1468,474362.75,380284.93,380284.93,94077.82
OD0000125,O000069,P0012,1,680673.02,0.0694,633409.34,607117.74,607117.74,26291.6
OD0000126,O000070,P0134,1,364408.33,0.1172,321689.18,229266.72,229266.72,92422.46
OD0000127,O000071,P0173,1,1902829.95,0.0286,1848496.1,1150186.66,1150186.66,698309.44
OD0000128,O000072,P0229,1,314184.33,0.1079,280288.93,236105.93,236105.93,44183.0
OD0000129,O000073,P0210,2,1073653.22,0.1082,1914910.9,671960.8,1343921.6,570989.3
OD0000130,O000074,P0083,3,118257.9,0.0407,340320.68,90582.08,271746.24,68574.44
OD0000131,O000074,P0212,2,29801.45,0.0741,55188.12,19797.96,39595.92,15592.2
OD0000132,O000075,P0289,1,343454.11,0.0867,313693.69,226083.62,226083.62,87610.07
OD0000133,O000076,P0289,1,351420.45,0.1289,306118.61,226083.62,226083.62,80034.99
OD0000134,O000077,P0251,1,415821.7,0.0395,399390.08,305351.85,305351.85,94038.23
OD0000135,O000078,P0121,3,487708.13,0.1209,1286227.7,294490.03,883470.09,402757.61
OD0000136,O000079,P0073,4,659389.23,0.1969,2118296.52,446121.84,1784487.36,333809.16
OD0000137,O000079,P0111,2,297889.9,0.2427,451208.67,199535.97,399071.94,52136.73
OD0000138,O000080,P0144,1,100168.9,0.0881,91340.95,64670.8,64670.8,26670.15
OD0000139,O000081,P0047,1,2498678.04,0.0703,2322956.91,2145450.53,2145450.53,177506.38
OD0000140,O000081,P0054,2,3717882.28,0.1248,6507859.72,3140735.19,6281470.38,226389.34
OD0000141,O000081,P0298,3,209841.27,0.2034,501456.8,147591.05,442773.15,58683.65
OD0000142,O000082,P0077,1,293269.5,0.1022,263294.73,203600.42,203600.42,59694.31
OD0000143,O000082,P0041,1,600946.24,0.1063,537044.25,536756.83,536756.83,287.42
OD0000144,O000083,P0242,6,902663.83,0.2282,4179842.76,546004.41,3276026.46,903816.3
OD0000145,O000084,P0222,2,143615.03,0.0693,267338.78,97179.55,194359.1,72979.68
OD0000146,O000085,P0299,1,13915.7,0.2005,11125.17,11285.75,11285.75,-160.58
OD0000147,O000086,P0166,3,1004819.88,0.0877,2750069.86,667826.64,2003479.92,746589.94
OD0000148,O000086,P0041,2,595041.22,0.1478,1014193.72,536756.83,1073513.66,-59319.94
OD0000149,O000086,P0123,2,224538.83,0.1731,371339.03,119940.33,239880.66,131458.37
OD0000150,O000086,P0155,4,149330.89,0.1339,517344.46,79286.52,317146.08,200198.38
OD0000151,O000087,P0225,1,100516.43,0.1002,90446.53,71304.84,71304.84,19141.69
OD0000152,O000088,P0260,2,612787.56,0.118,1080952.02,431143.02,862286.04,218665.98
OD0000153,O000089,P0123,1,229952.31,0.0136,226825.33,119940.33,119940.33,106885.0
OD0000154,O000090,P0208,1,697111.06,0.0665,650731.12,396314.71,396314.71,254416.41
OD0000155,O000090,P0227,2,533438.87,0.052,1011437.81,357389.01,714778.02,296659.79
OD0000156,O000091,P0051,1,537669.14,0.0636,503454.18,450326.67,450326.67,53127.51
OD0000157,O000092,P0078,1,788473.37,0.0717,731910.47,580311.88,580311.88,151598.59
OD0000158,O000092,P0300,1,1861044.16,0.0363,1793561.41,1273833.82,1273833.82,519727.59
OD0000159,O000092,P0074,1,6997868.59,0.0775,6455552.36,5195140.15,5195140.15,1260412.21
OD0000160,O000092,P0138,1,2097020.88,0.0988,1889735.74,1417401.98,1417401.98,472333.76
OD0000161,O000092,P0120,1,262007.58,0.0985,236204.51,174669.6,174669.6,61534.91
OD0000162,O000093,P0073,1,653805.51,0.1248,572183.39,446121.84,446121.84,126061.55
OD0000163,O000094,P0031,2,1431406.89,0.1953,2303783.67,1142098.23,2284196.46,19587.21
OD0000164,O000095,P0285,1,158907.64,0.1268,138754.06,114631.95,114631.95,24122.11
OD0000165,O000095,P0211,1,1655721.89,0.1427,1419525.95,989693.92,989693.92,429832.03
OD0000166,O000095,P0010,1,986996.5,0.1256,863017.98,837339.32,837339.32,25678.66
OD0000167,O000096,P0299,3,13796.8,0.041,39694.43,11285.75,33857.25,5837.18
OD0000168,O000097,P0109,3,1287804.38,0.1147,3420354.76,917178.7,2751536.1,668818.66
OD0000169,O000097,P0243,2,174406.45,0.0701,324358.01,123853.16,247706.32,76651.69
OD0000170,O000098,P0235,2,102833.58,0.1144,182132.16,64752.75,129505.5,52626.66
OD0000171,O000099,P0242,5,890992.96,0.2556,3316073.76,546004.41,2730022.05,586051.71
OD0000172,O000100,P0123,1,231712.38,0.1511,196711.34,119940.33,119940.33,76771.01
OD0000173,O000100,P0006,1,9892602.77,0.1115,8789617.0,8118987.55,8118987.55,670629.45
OD0000174,O000100,P0048,1,922808.05,0.0755,853135.4,764468.52,764468.52,88666.88
OD0000175,O000100,P0005,2,2292949.79,0.1381,3952765.89,1967776.83,3935553.66,17212.23
OD0000176,O000101,P0272,5,334533.79,0.082,1535498.17,252111.53,1260557.65,274940.52
OD0000177,O000101,P0207,3,1712530.34,0.0787,4733133.34,1014198.14,3042594.42,1690538.92
OD0000178,O000101,P0002,2,1067296.1,0.1076,1904899.06,912026.12,1824052.24,80846.82
OD0000179,O000102,P0273,1,34378.83,0.07,31970.68,21825.21,21825.21,10145.47
OD0000180,O000102,P0168,2,254794.88,0.1153,450808.93,149483.46,298966.92,151842.01
OD0000181,O000102,P0147,5,681486.6,0.1435,2918353.97,428681.66,2143408.3,774945.67
OD0000182,O000103,P0169,1,284068.53,0.0744,262938.35,188192.6,188192.6,74745.75
OD0000183,O000104,P0132,2,2079029.58,0.2241,3226434.48,1414543.1,2829086.2,397348.28
OD0000184,O000104,P0038,2,749979.73,0.1944,1208420.68,648961.45,1297922.9,-89502.22
OD0000185,O000105,P0133,2,814845.55,0.1122,1446818.43,528427.11,1056854.22,389964.21
OD0000186,O000106,P0096,1,341157.7,0.1296,296950.68,237452.54,237452.54,59498.14
OD0000187,O000106,P0206,2,121647.29,0.0637,227789.21,80748.56,161497.12,66292.09
OD0000188,O000107,P0023,1,876984.12,0.0656,819423.48,761116.39,761116.39,58307.09
OD0000189,O000107,P0011,2,9284320.49,0.1371,16022595.23,8073668.5,16147337.0,-124741.77
OD0000190,O000107,P0240,1,890010.96,0.0685,829076.38,606382.79,606382.79,222693.59
OD0000191,O000107,P0248,1,1168630.36,0.1277,1019444.09,824960.88,824960.88,194483.21
OD0000192,O000108,P0258,6,1506296.9,0.1583,7607023.73,1031237.5,6187425.0,1419598.73
OD0000193,O000109,P0143,2,2565109.44,0.1304,4461306.41,1613968.04,3227936.08,1233370.33
OD0000194,O000110,P0155,1,148689.73,0.1174,131231.85,79286.52,79286.52,51945.33
OD0000195,O000110,P0119,2,358787.17,0.0761,662978.07,262402.72,524805.44,138172.63
OD0000196,O000111,P0188,6,205213.62,0.1256,1076597.33,142390.71,854344.26,222253.07
OD0000197,O000112,P0243,1,173748.43,0.057,163837.03,123853.16,123853.16,39983.87
OD0000198,O000112,P0048,3,914325.17,0.1251,2399756.24,764468.52,2293405.56,106350.68
OD0000199,O000113,P0039,1,2027741.45,0.0616,1902868.77,1744454.31,1744454.31,158414.46
OD0000200,O000113,P0127,1,2419348.77,0.0718,2245675.92,1320170.83,1320170.83,925505.09
OD0000201,O000113,P0188,1,197794.38,0.0151,194812.33,142390.71,142390.71,52421.62
OD0000202,O000114,P0082,1,568619.39,0.1013,511029.44,444465.13,444465.13,66564.31
OD0000203,O000115,P0046,10,1089842.97,0.1634,9117840.54,928136.74,9281367.4,-163526.86
OD0000204,O000115,P0293,6,1969033.08,0.158,9947847.18,1476010.05,8856060.3,1091786.88
OD0000205,O000116,P0082,1,572676.92,0.1496,487001.44,444465.13,444465.13,42536.31
OD0000206,O000116,P0094,2,9540475.06,0.1261,16675183.51,7017318.01,14034636.02,2640547.49
OD0000207,O000116,P0294,2,918317.63,0.0836,1683128.63,660911.45,1321822.9,361305.73
OD0000208,O000117,P0254,1,2929668.25,0.0726,2716995.14,1997287.4,1997287.4,719707.74
OD0000209,O000117,P0248,1,1156986.34,0.1493,984277.52,824960.88,824960.88,159316.64
OD0000210,O000117,P0065,2,2234550.15,0.0509,4241503.67,1854699.47,3709398.94,532104.73
OD0000211,O000118,P0229,2,326540.68,0.1066,583466.58,236105.93,472211.86,111254.72
OD0000212,O000119,P0180,3,545495.08,0.096,1479334.94,298964.45,896893.35,582441.59
OD0000213,O000119,P0125,4,60135.3,0.1378,207384.67,30289.96,121159.84,86224.83
OD0000214,O000120,P0087,1,596275.28,0.1289,519394.35,395845.99,395845.99,123548.36
OD0000215,O000120,P0044,3,10987678.95,0.102,29600015.23,9619558.06,28858674.18,741341.05
OD0000216,O000120,P0040,5,862218.42,0.1421,3698315.31,709833.61,3549168.05,149147.26
OD0000217,O000120,P0168,3,245039.41,0.1319,638172.61,149483.46,448450.38,189722.23
OD0000218,O000120,P0023,1,855819.17,0.1679,712098.13,761116.39,761116.39,-49018.26
OD0000219,O000121,P0039,5,2038373.97,0.1826,8330399.71,1744454.31,8722271.55,-391871.84
OD0000220,O000121,P0090,8,531556.18,0.1209,3738243.74,385181.62,3081452.96,656790.78
OD0000221,O000122,P0130,1,1115928.81,0.0298,1082645.52,566542.33,566542.33,516103.19
OD0000222,O000123,P0039,1,2074309.22,0.2072,1644446.2,1744454.31,1744454.31,-100008.11
OD0000223,O000123,P0068,1,3938454.23,0.1747,3250522.67,3294536.89,3294536.89,-44014.22
OD0000224,O000123,P0007,1,11826075.93,0.1609,9923808.65,9793527.78,9793527.78,130280.87
OD0000225,O000124,P0273,1,33109.95,0.1053,29622.96,21825.21,21825.21,7797.75
OD0000226,O000124,P0044,3,10838478.46,0.0781,29977017.68,9619558.06,28858674.18,1118343.5
OD0000227,O000124,P0050,1,9283548.95,0.127,8104868.08,7821205.87,7821205.87,283662.21
OD0000228,O000124,P0002,1,1061026.1,0.1124,941792.74,912026.12,912026.12,29766.62
OD0000229,O000124,P0197,1,146136.38,0.1109,129936.26,98786.53,98786.53,31149.73
OD0000230,O000125,P0122,1,2001900.17,0.1461,1709358.27,1032437.93,1032437.93,676920.34
OD0000231,O000126,P0197,2,149374.74,0.0117,295268.66,98786.53,197573.06,97695.6
OD0000232,O000127,P0030,1,661953.94,0.078,610294.18,575129.53,575129.53,35164.65
OD0000233,O000128,P0207,4,1711564.25,0.1559,5778602.27,1014198.14,4056792.56,1721809.71
OD0000234,O000129,P0284,1,954399.52,0.1023,856789.34,647952.02,647952.02,208837.32
OD0000235,O000130,P0266,2,2570930.61,0.2106,4058766.16,1982301.81,3964603.62,94162.54
OD0000236,O000131,P0136,1,1141957.81,0.12,1004973.38,610120.01,610120.01,394853.37
OD0000237,O000131,P0023,1,864276.87,0.0851,790726.84,761116.39,761116.39,29610.45
OD0000238,O000131,P0068,2,3845919.82,0.1006,6918108.45,3294536.89,6589073.78,329034.67
OD0000239,O000131,P0053,1,524725.99,0.1058,469228.43,470537.19,470537.19,-1308.76
OD0000240,O000132,P0025,2,7267805.64,0.1458,12415593.71,6520851.77,13041703.54,-626109.83
OD0000241,O000133,P0030,1,649913.86,0.1236,569564.74,575129.53,575129.53,-5564.79
OD0000242,O000133,P0169,1,295628.75,0.1015,265621.84,188192.6,188192.6,77429.24
OD0000243,O000134,P0191,3,122342.11,0.1157,324572.82,85349.57,256048.71,68524.11
OD0000244,O000134,P0013,1,669160.04,0.1755,551712.49,586215.0,586215.0,-34502.51
OD0000245,O000135,P0036,1,9098805.33,0.1571,7669816.15,7455480.0,7455480.0,214336.15
OD0000246,O000136,P0179,3,1865951.05,0.1345,4844783.29,1005800.44,3017401.32,1827381.97
OD0000247,O000136,P0057,4,8720508.33,0.0582,32853371.71,7589022.19,30356088.76,2497282.95
OD0000248,O000136,P0087,1,568376.38,0.0387,546363.4,395845.99,395845.99,150517.41
OD0000249,O000136,P0097,1,4357214.84,0.1175,3845083.28,3390875.99,3390875.99,454207.29
OD0000250,O000137,P0216,10,135588.77,0.1241,1187673.99,82727.87,827278.7,360395.29
OD0000251,O000137,P0271,3,1951262.54,0.1559,4941378.44,1480721.74,4442165.22,499213.22
OD0000252,O000137,P0064,5,1668708.72,0.2476,6277520.16,1438121.57,7190607.85,-913087.69
OD0000253,O000138,P0285,3,159820.03,0.1925,387149.25,114631.95,343895.85,43253.4
OD0000254,O000139,P0258,4,1448166.26,0.0925,5257010.92,1031237.5,4124950.0,1132060.92
OD0000255,O000140,P0034,10,5627158.91,0.1628,47112348.12,4726764.33,47267643.3,-155295.18
OD0000256,O000140,P0264,5,1026375.49,0.1133,4550683.25,797742.73,3988713.65,561969.6
OD0000257,O000141,P0005,2,2217047.88,0.1144,3926652.6,1967776.83,3935553.66,-8901.06
OD0000258,O000141,P0202,3,526863.49,0.034,1526904.76,310165.81,930497.43,596407.33
OD0000259,O000141,P0167,2,1502243.13,0.0699,2794338.8,940725.12,1881450.24,912888.56
OD0000260,O000142,P0044,1,11011626.96,0.0308,10672474.08,9619558.06,9619558.06,1052916.02
OD0000261,O000143,P0059,1,4761058.13,0.1296,4144054.6,3953597.22,3953597.22,190457.38
OD0000262,O000143,P0106,2,11601221.33,0.137,20024170.09,7939147.12,15878294.24,4145875.85
OD0000263,O000144,P0154,1,139985.67,0.1184,123404.98,90912.7,90912.7,32492.28
OD0000264,O000145,P0138,5,2037395.79,0.1781,8373132.13,1417401.98,7087009.9,1286122.23
OD0000265,O000146,P0200,2,104664.5,0.1031,187755.6,72551.15,145102.3,42653.3
OD0000266,O000146,P0050,2,9314155.01,0.1293,16218848.41,7821205.87,15642411.74,576436.67
OD0000267,O000147,P0127,1,2493808.86,0.1183,2198733.94,1320170.83,1320170.83,878563.11
OD0000268,O000147,P0297,1,18132.29,0.1042,16243.36,13851.81,13851.81,2391.55
OD0000269,O000148,P0081,1,1680505.64,0.0278,1633806.73,1143260.05,1143260.05,490546.68
OD0000270,O000148,P0171,1,143648.84,0.0927,130326.89,77750.13,77750.13,52576.76
OD0000271,O000149,P0263,4,1211986.72,0.2018,3869861.55,952546.61,3810186.44,59675.11
OD0000272,O000150,P0020,1,853353.71,0.023,833726.77,742477.2,742477.2,91249.57
OD0000273,O000150,P0148,1,159947.85,0.0406,153458.8,85540.55,85540.55,67918.25
OD0000274,O000151,P0171,3,147683.31,0.1202,389803.07,77750.13,233250.39,156552.68
OD0000275,O000152,P0221,1,254783.76,0.1754,210089.28,150237.21,150237.21,59852.07
OD0000276,O000152,P0040,1,881715.11,0.0437,843206.05,709833.61,709833.61,133372.44
OD0000277,O000153,P0177,2,1780287.28,0.1534,3014331.23,1190024.47,2380048.94,634282.29
OD0000278,O000154,P0252,1,136350.68,0.0862,124603.61,89021.94,89021.94,35581.67
OD0000279,O000155,P0136,6,1162855.9,0.1619,5847315.1,610120.01,3660720.06,2186595.04
OD0000280,O000155,P0223,8,502091.5,0.2314,3087438.9,324711.01,2597688.08,489750.82
OD0000281,O000156,P0127,4,2450670.55,0.1421,8410080.17,1320170.83,5280683.32,3129396.85
OD0000282,O000157,P0125,3,57973.83,0.2443,131429.53,30289.96,90869.88,40559.65
OD0000283,O000158,P0155,4,150868.89,0.1533,510988.24,79286.52,317146.08,193842.16
OD0000284,O000158,P0078,2,771345.81,0.2588,1143485.86,580311.88,1160623.76,-17137.9
OD0000285,O000158,P0084,3,1942168.42,0.2052,4630740.96,1488769.41,4466308.23,164432.73
OD0000286,O000158,P0039,4,2072248.89,0.1964,6660879.69,1744454.31,6977817.24,-316937.55
OD0000287,O000159,P0127,1,2533848.86,0.0218,2478654.97,1320170.83,1320170.83,1158484.14
OD0000288,O000160,P0218,3,1319484.55,0.1376,3413638.6,766938.29,2300814.87,1112823.73
OD0000289,O000161,P0273,2,34038.78,0.1859,55419.79,21825.21,43650.42,11769.37
