product_id,product_name,category,subcategory,brand,unit_cost,list_price
P0086,LivingCo Kitchen Appliance 086,Home & Living,Kitchen Appliance,Comforta,109468.54,161503.7
P0087,HomePlus Home Decor 087,Home & Living,Furniture,HomePlus,395845.99,582411.17
P0088,Ruma Storage 088,Home & Living,Kitchen Appliance,HomePlus,2060938.66,2800254.11
P0089,Ruma Kitchen Appliance 089,Home & Living,Furniture,HomePlus,543656.95,750686.27
P0090,Comforta Kitchen Appliance 090,Home & Living,Furniture,HomePlus,385181.62,531419.06
P0091,Ruma Furniture 091,Home & Living,Home Decor,LivingCo,4861111.71,7087776.35
P0092,LivingCo Home Decor 092,Home & Living,Furniture,Comforta,93615.03,134844.69
P0093,LivingCo Storage 093,Home & Living,Home Decor,LivingCo,835696.66,1079725.77
P0094,LivingCo Kitchen Appliance 094,Home & Living,Kitchen Appliance,LivingCo,7017318.01,9801653.33
P0095,LivingCo Kitchen Appliance 095,Home & Living,Furniture,HomePlus,221275.44,308495.32
P0096,Comforta Furniture 096,Home & Living,Kitchen Appliance,Ruma,237452.54,333968.01
P0097,Comforta Furniture 097,Home & Living,Furniture,LivingCo,3390875.99,4279998.24
P0098,Comforta Home Decor 098,Home & Living,Home Decor,Comforta,11905091.96,14884095.22
P0099,LivingCo Storage 099,Home & Living,Storage,Ruma,1068586.18,1374036.41
P0100,HomePlus Furniture 100,Home & Living,Kitchen Appliance,HomePlus,10691084.29,13448603.96
P0101,Comforta Kitchen Appliance 101,Home & Living,Home Decor,Ruma,10440335.52,13885850.56
P0102,LivingCo Storage 102,Home & Living,Furniture,HomePlus,1275290.32,1890179.09
P0103,HomePlus Home Decor 103,Home & Living,Furniture,HomePlus,2170353.14,3066943.68
P0104,Ruma Kitchen Appliance 104,Home & Living,Home Decor,LivingCo,85545.09,108413.05
P0105,LivingCo Furniture 105,Home & Living,Furniture,Comforta,2019502.75,2527361.08
P0106,HomePlus Home Decor 106,Home & Living,Furniture,HomePlus,7939147.12,11952653.79
P0107,Ruma Home Decor 107,Home & Living,Home Decor,LivingCo,2296983.22,3470584.03
P0108,Ruma Kitchen Appliance 108,Home & Living,Storage,Comforta,2969966.9,4029063.57
P0109,HomePlus Storage 109,Home & Living,Kitchen Appliance,LivingCo,917178.7,1255352.01
P0110,HomePlus Kitchen Appliance 110,Home & Living,Kitchen Appliance,Ruma,693707.8,1030137.38
P0111,Comforta Home Decor 111,Home & Living,Storage,HomePlus,199535.97,298567.14
P0112,LivingCo Home Decor 112,Home & Living,Storage,LivingCo,537681.47,776022.05
P0113,Comforta Home Decor 113,Home & Living,Storage,HomePlus,157671.52,201755.03
P0114,Comforta Home Decor 114,Home & Living,Storage,LivingCo,1336065.85,1898900.07
P0115,HomePlus Storage 115,Home & Living,Kitchen Appliance,Comforta,1167377.86,1594124.06
P0116,Ruma Home Decor 116,Home & Living,Furniture,LivingCo,255958.97,390750.98
P0117,Comforta Storage 117,Home & Living,Storage,Comforta,9843143.02,13275352.14
P0118,Ruma Storage 118,Home & Living,Storage,LivingCo,111716.01,167412.04
P0119,LivingCo Kitchen Appliance 119,Home & Living,Kitchen Appliance,LivingCo,262402.72,355258.02
P0120,Comforta Storage 120,Home & Living,Home Decor,Comforta,174669.6,264907.96
P0121,Loka Apparel 121,Fashion,Accessories,Mode,294490.03,474947.57
P0122,Urban Footwear 122,Fashion,Accessories,Mode,1032437.93,2001601.79
P0123,Mode Footwear 123,Fashion,Bags,Loka,119940.33,227141.16
P0124,Urban Accessories 124,Fashion,Apparel,Stride,83380.9,132037.58
P0125,Mode Apparel 125,Fashion,Apparel,Mode,30289.96,58873.68
P0126,Loka Accessories 126,fashion,Apparel,Loka,1214055.51,1798040.76
P0127,Loka Accessories 127,Fashion,Apparel,Loka,1320170.83,2461905.19
P0128,Stride Accessories 128,Fashion,Bags,Stride,395038.28,593819.44
P0129,Loka Footwear 129,Fashion,Bags,Stride,81273.24,155495.99
P0130,Stride Bags 130,Fashion,Apparel,Urban,566542.33,1111889.62
P0131,Loka Apparel 131,Fashion,Apparel,Loka,176014.91,295207.53
P0132,Loka Bags 132,Fashion,Bags,Stride,1414543.1,2056226.65
P0133,Mode Footwear 133,Fashion,Bags,Urban,528427.11,820462.39
P0134,Urban Accessories 134,Fashion,Apparel,Mode,229266.72,372897.39
P0135,Urban Footwear 135,Fashion,Apparel,Urban,186443.21,335823.17
P0136,Stride Accessories 136,Fashion,Accessories,Stride,610120.01,1166513.42
P0137,Urban Accessories 137,Fashion,Bags,Loka,473696.13,938945.57
P0138,Loka Apparel 138,Fashion,Accessories,Urban,1417401.98,2092681.75
P0139,Urban Accessories 139,Fashion,Accessories,Stride,94821.26,141184.76
P0140,Stride Footwear 140,Fashion,Footwear,Mode,148969.08,215170.84
P0141,Urban Accessories 141,Fashion,Footwear,Urban,126690.48,197373.3
P0142,Mode Bags 142,Fashion,Bags,Mode,349959.28,586159.33
P0143,Mode Footwear 143,Fashion,Apparel,Loka,1613968.04,2500100.11
P0144,Urban Accessories 144,Fashion,Accessories,Loka,64670.8,102176.63
P0145,Stride Footwear 145,Fashion,Accessories,Loka,1054418.05,1669163.97
P0146,Loka Footwear 146,Fashion,Apparel,Mode,34462.45,55926.23
P0147,Mode Footwear 147,Fashion,Accessories,Urban,428681.66,661966.79
P0148,Loka Accessories 148,Fashion,Apparel,Loka,85540.55,164400.84
P0149,Mode Footwear 149,Fashion,Apparel,Mode,46835.29,83884.81
P0150,Urban Bags 150,Fashion,Footwear,Loka,140236.6,276139.44
P0151,Urban Footwear 151,Fashion,Apparel,Stride,1913845.16,2983207.37
P0152,Urban Apparel 152,Fashion,Apparel,Mode,741157.06,1310808.64
P0153,Mode Apparel 153,Fashion,Accessories,Urban,318679.04,555393.97
P0154,Loka Apparel 154,Fashion,Footwear,Loka,90912.7,140471.4
P0155,Mode Footwear 155,Fashion,Accessories,Urban,79286.52,150757.72
P0156,Mode Footwear 156,Fashion,Footwear,Loka,52483.34,99231.26
P0157,Stride Accessories 157,Fashion,Apparel,Stride,308416.74,463617.72
P0158,Loka Apparel 158,Fashion,Footwear,Loka,1745055.05,2831814.83
P0159,Stride Accessories 159,Fashion,Apparel,Mode,32379.24,53593.79
P0160,Mode Bags 160,Fashion,Apparel,Mode,592126.26,914944.44
P0161,Loka Apparel 161,Fashion,Bags,Urban,1349686.11,2029240.82
P0162,Urban Accessories 162,Fashion,Accessories,Mode,42571.54,75685.5
P0163,Loka Bags 163,Fashion,Bags,Loka,303317.6,553230.37
P0164,Mode Bags 164,Fashion,Footwear,Urban,106940.97,159980.74
P0165,Stride Accessories 165,Fashion,Apparel,Mode,404173.27,651853.84
P0166,Loka Bags 166,Fashion,Footwear,Urban,667826.64,986037.64
P0167,Mode Footwear 167,Fashion,Bags,Loka,940725.12,1536234.91
P0168,Urban Footwear 168,Fashion,Bags,Stride,149483.46,249476.05
P0169,Stride Accessories 169,Fashion,Accessories,Urban,188192.6,291343.85
P0170,Loka Bags 170,Fashion,Footwear,Loka,47074.69,77849.34
P0171,Mode Footwear 171,Fashion,Apparel,Loka,77750.13,146726.75
P0172,Urban Apparel 172,Fashion,Accessories,Mode,170768.44,273313.73
P0173,Urban Accessories 173,Fashion,Footwear,Mode,1150186.66,1887474.72
P0174,Stride Apparel 174,Fashion,Accessories,Mode,340900.49,653210.29
P0175,Mode Apparel 175,Fashion,Footwear,Urban,368182.29,541485.01
P0176,Loka Footwear 176,Fashion,Apparel,Mode,1899669.96,2730585.69
P0177,Urban Accessories 177,Fashion,Footwear,Mode,1190024.47,1734843.47
P0178,Stride Bags 178,Fashion,Footwear,Stride,344847.75,645092.45
P0179,Urban Accessories 179,Fashion,Accessories,Loka,1005800.44,1857753.72
P0180,Loka Bags 180,Fashion,Apparel,Loka,298964.45,559433.74
P0181,Glow Haircare 181,Beauty,Skincare,Aurea,380284.93,540436.2
P0182,Pure Fragrance 182,Beauty,Haircare,Glow,54381.99,90913.84
P0183,Lumi Skincare 183,Beauty,Skincare,Glow,1263252.51,1843820.82
P0184,Lumi Haircare 184,Beauty,Skincare,Lumi,1084880.46,1531115.01
P0185,Glow Skincare 185,Beauty,Skincare,Aurea,29053.23,38899.8
P0186,Aurea Skincare 186,Beauty,Haircare,Pure,399728.63,553298.04
P0187,Lumi Makeup 187,Beauty,Fragrance,Glow,133695.36,228325.72
P0188,Lumi Makeup 188,Beauty,Makeup,Pure,142390.71,203585.03
P0189,Aurea Makeup 189,Beauty,Fragrance,Aurea,310972.62,420481.11
P0190,Glow Fragrance 190,Beauty,Haircare,Glow,511918.33,727766.93
P0191,Glow Skincare 191,Beauty,Haircare,Lumi,85349.57,125695.67
P0192,Pure Fragrance 192,Beauty,Skincare,Lumi,21401.98,34206.34
P0193,Aurea Makeup 193,Beauty,Haircare,Glow,479320.12,677197.81
P0194,Glow Makeup 194,Beauty,Makeup,Pure,473591.15,821296.7
P0195,Glow Fragrance 195,Beauty,Fragrance,Glow,163192.83,237425.71
P0196,Lumi Fragrance 196,Beauty,Haircare,Aurea,1121660.12,1804375.86
P0197,Aurea Makeup 197,Beauty,Haircare,Aurea,98786.53,146148.12
P0198,Lumi Skincare 198,Beauty,Fragrance,Lumi,208583.48,285644.08
P0199,Glow Haircare 199,Beauty,Fragrance,Glow,622192.17,831981.76
P0200,Aurea Skincare 200,Beauty,Haircare,Glow,72551.15,102624.89
P0201,Aurea Skincare 201,Beauty,Haircare,Lumi,32534.59,44867.21
P0202,Pure Haircare 202,Beauty,Fragrance,Aurea,310165.81,516858.53
P0203,Aurea Fragrance 203,Beauty,Makeup,Lumi,540731.73,844327.99
P0204,Aurea Fragrance 204,Beauty,Haircare,Lumi,84564.05,151625.59
P0205,Lumi Skincare 205,Beauty,Haircare,Glow,717911.05,1157426.15
P0206,Glow Haircare 206,Beauty,Skincare,Lumi,80748.56,118171.93
P0207,Lumi Fragrance 207,Beauty,Fragrance,Lumi,1014198.14,1719728.27
P0208,Aurea Fragrance 208,Beauty,Haircare,Pure,396314.71,690110.56
P0209,Glow Haircare 209,Beauty,Fragrance,Glow,1040334.51,1785039.17
P0210,Aurea Makeup 210,Beauty,Fragrance,Glow,671960.8,1079274.03
P0211,Lumi Haircare 211,Beauty,Haircare,Lumi,989693.92,1688449.37
P0212,Lumi Haircare 212,Beauty,Fragrance,Lumi,19797.96,30346.19
P0213,Aurea Makeup 213,Beauty,Haircare,Aurea,108948.91,157590.84
P0214,Pure Haircare 214,Beauty,Makeup,Lumi,196404.86,346475.36
P0215,Lumi Haircare 215,Beauty,Skincare,Glow,742664.12,999640.96
P0216,Aurea Skincare 216,Beauty,Skincare,Lumi,82727.87,135302.63
P0217,Pure Fragrance 217,Beauty,Skincare,Glow,23910.13,33620.57
P0218,Aurea Makeup 218,Beauty,Makeup,Pure,766938.29,1315027.79
P0219,Lumi Makeup 219,Beauty,Fragrance,Pure,1022735.86,1805060.55
P0220,Pure Makeup 220,Beauty,Makeup,Glow,857391.75,1393586.49
P0221,Aurea Haircare 221,Beauty,Skincare,Aurea,150237.21,252548.24
P0222,Aurea Makeup 222,Beauty,Fragrance,Lumi,97179.55,146119.04
P0223,Lumi Fragrance 223,Beauty,Haircare,Lumi,324711.01,500060.03
P0224,Aurea Fragrance 224,Beauty,Haircare,Pure,33948.11,55088.92
P0225,Glow Skincare 225,Beauty,Skincare,Lumi,71304.84,101847.76
P0226,Trail Sportswear 226,Sports,Footwear,Trail,72972.76,116263.23
P0227,Motion Outdoor 227,Sports,Outdoor,Active,357389.01,530429.77
P0228,Peak Outdoor 228,Sports,Equipment,Active,167025.26,252998.18
P0229,Active Equipment 229,Sports,Footwear,Trail,236105.93,323169.24
P0230,Active Outdoor 230,Sports,Equipment,Active,90277.16,136824.33
P0231,Active Sportswear 231,Sports,Footwear,Trail,2112639.67,2944513.21
P0232,Motion Sportswear 232,Sports,Sportswear,Trail,2852038.23,4700740.83
P0233,Trail Footwear 233,Sports,Footwear,Active,1117903.66,1552978.08
P0234,Active Outdoor 234,Sports,Footwear,Peak,653056.81,1007024.79
P0235,Active Outdoor 235,Sports,Equipment,Active,64752.75,100875.17
P0236,Motion Outdoor 236,Sports,Sportswear,Motion,129693.47,192175.39
P0237,Trail Equipment 237,Sports,Equipment,Motion,1353988.21,1990838.48
P0238,Peak Equipment 238,Sports,Equipment,Motion,835980.49,1120186.03
P0239,Trail Footwear 239,Sports,Outdoor,Motion,1900041.88,2643173.46
P0240,Peak Outdoor 240,Sports,Equipment,Motion,606382.79,876127.33
P0241,Peak Outdoor 241,Sports,Footwear,Trail,485076.07,667092.72
P0242,Peak Outdoor 242,Sports,Sportswear,Trail,546004.41,906189.5
P0243,Peak Equipment 243,Sports,Sportswear,Motion,123853.16,173463.43
P0244,Motion Outdoor 244,Sports,Outdoor,Peak,64197.68,89996.76
P0245,Active Footwear 245,Sports,Footwear,Active,912096.99,1223298.07
P0246,Trail Equipment 246,Sports,Footwear,Trail,47083.56,77020.08
P0247,Active Footwear 247,Sports,Outdoor,Peak,406466.01,593812.7
P0248,Motion Equipment 248,Sports,Footwear,Active,824960.88,1143032.32
P0249,Peak Outdoor 249,Sports,Outdoor,Active,843827.59,1333486.95
P0250,Peak Outdoor 250,Sports,Outdoor,Trail,2953656.19,4143123.58
P0251,Peak Equipment 251,Sports,Sportswear,Peak,305351.85,414074.46
P0252,Peak Footwear 252,Sports,Outdoor,Trail,89021.94,139537.81
P0253,Trail Sportswear 253,Sports,Sportswear,Motion,1866730.12,2734669.16
P0254,Peak Footwear 254,Sports,Footwear,Trail,1997287.4,2919559.95
P0255,Motion Footwear 255,Sports,Sportswear,Motion,147902.71,235192.58
P0256,Peak Sportswear 256,Sports,Equipment,Active,3030055.77,4622176.1
P0257,Motion Sportswear 257,Sports,Sportswear,Peak,167946.89,259940.56
P0258,Motion Outdoor 258,Sports,Outdoor,Active,1031237.5,1486784.43
P0259,Motion Equipment 259,Sports,Equipment,Peak,543893.44,820858.58
P0260,Peak Equipment 260,Sports,Sportswear,Peak,431143.02,606943.37
P0261,DeskMate Storage 261,Office Supplies,Printer Supplies,Write,27407.22,41380.99
P0262,OfficePro Desk 262,Office Supplies,Printer Supplies,OfficePro,158934.95,209712.57
P0263,OfficePro Printer Supplies 263,Office Supplies,Stationery,DeskMate,952546.61,1232334.95
P0264,Write Storage 264,Office Supplies,Storage,OfficePro,797742.73,999410.09
P0265,Write Printer Supplies 265,Office Supplies,Storage,DeskMate,1139441.65,1567869.08
P0266,Write Storage 266,Office Supplies,Storage,Write,1982301.81,2556626.41
P0267,Write Storage 267,Office Supplies,Storage,Write,18015.57,26881.34
P0268,Write Stationery 268,Office Supplies,Desk,OfficePro,14946.37,19423.65
P0269,Write Desk 269,Office Supplies,Desk,NusaOffice,81707.41,125063.28
P0270,DeskMate Storage 270,Office Supplies,Printer Supplies,NusaOffice,128811.84,165509.71
P0271,DeskMate Desk 271,Office Supplies,Storage,Write,1480721.74,1908281.28
P0272,Write Desk 272,Office Supplies,Stationery,Write,252111.53,327180.52
P0273,Write Stationery 273,Office Supplies,Desk,Write,21825.21,33433.78
P0274,DeskMate Storage 274,Office Supplies,Storage,DeskMate,21207.96,30246.42
P0275,DeskMate Desk 275,Office Supplies,Desk,NusaOffice,237023.91,298214.48
P0276,OfficePro Stationery 276,Office Supplies,Stationery,DeskMate,352329.84,455578.31
P0277,OfficePro Printer Supplies 277,Office Supplies,Storage,NusaOffice,23106.31,34089.59
P0278,OfficePro Desk 278,Office Supplies,Storage,Write,1590807.6,2360211.39
P0279,OfficePro Printer Supplies 279,Office Supplies,Desk,OfficePro,1148396.04,1499679.0
P0280,NusaOffice Storage 280,Office Supplies,Desk,OfficePro,300703.59,404335.66
P0281,Write Desk 281,Office Supplies,Storage,DeskMate,20546.58,30877.37
P0282,OfficePro Desk 282,Office Supplies,Stationery,OfficePro,588495.41,826675.63
P0283,NusaOffice Stationery 283,Office Supplies,Desk,DeskMate,62086.9,83267.22
P0284,Write Printer Supplies 284,Office Supplies,Stationery,Write,647952.02,960727.78
P0285,OfficePro Desk 285,Office Supplies,Desk,Write,114631.95,159094.09
P0286,Write Storage 286,Office Supplies,Desk,OfficePro,2109792.29,2943183.59
P0287,Write Stationery 287,Office Supplies,Printer Supplies,OfficePro,2024963.77,2800596.32
P0288,NusaOffice Desk 288,Office Supplies,Printer Supplies,Write,26118.38,33560.36
P0289,OfficePro Printer Supplies 289,Office Supplies,Stationery,OfficePro,226083.62,341257.86
P0290,Write Storage 290,Office Supplies,Printer Supplies,DeskMate,789200.84,1175239.04
P0291,DeskMate Stationery 291,Office Supplies,Printer Supplies,NusaOffice,157166.96,198213.93
P0292,DeskMate Stationery 292,Office Supplies,Desk,DeskMate,14094.97,17793.07
P0293,Write Stationery 293,Office Supplies,Stationery,Write,1476010.05,2012918.34
P0294,OfficePro Printer Supplies 294,Office Supplies,Stationery,DeskMate,660911.45,891825.13
P0295,DeskMate Printer Supplies 295,Office Supplies,Desk,Write,64787.72,97842.84
P0296,Write Desk 296,Office Supplies,Desk,DeskMate,828728.93,1271408.74
P0297,NusaOffice Storage 297,Office Supplies,Storage,NusaOffice,13851.81,18368.5
P0298,DeskMate Desk 298,Office Supplies,Stationery,DeskMate,147591.05,213382.76
P0299,OfficePro Printer Supplies 299,Office Supplies,Storage,DeskMate,11285.75,14121.02
P0300,DeskMate Stationery 300,Office Supplies,Storage,Write,1273833.82,1810512.17
